Designator,Mid X,Mid Y,Rotation,Layer
C1001,89.485,-121.37,180.0,bottom
C1002,89.485,-122.47,180.0,bottom
C1003,88.86,-123.58,270.0,bottom
C1004,90.16,-123.555,270.0,bottom
C1005,92.86,-121.8,90.0,bottom
C1006,94.06,-122.425,270.0,bottom
C1007,93.785,-116.07,90.0,bottom
C1008,92.63,-116.9,90.0,bottom
C1009,67.03,-136.68,0.0,top
C1010,66.56,-144.83,0.0,top
C1011,97.08,-127.56,0.0,top
C1012,94.7675,-136.23,270.0,top
C1013,91.76,-121.47,180.0,bottom
C1014,92.285,-119.37,90.0,bottom
C1015,91.085,-130.745,0.0,top
C1016,86.5175,-136.23,90.0,top
C1017,64.0575,-140.815,0.0,top
C1018,64.0575,-139.215,0.0,top
C1019,75.945,-121.4775,90.0,top
C1020,76.455,-127.4175,0.0,top
C1021,90.77,-144.86,0.0,bottom
C1022,75.935,-126.755,270.0,bottom
C1023,94.1425,-135.78,180.0,bottom
C1024,91.8475,-136.28,0.0,bottom
C1025,91.8675,-135.58,0.0,bottom
C1026,85.14,-127.72,180.0,top
C1027,120.12,-139.4,90.0,top
C1028,62.81,-129.61,90.0,bottom
C1029,62.86,-133.81,90.0,bottom
C1101,125.80225,-90.84775,180.0,bottom
C1102,125.00225,-93.25775,0.0,bottom
C1103,129.79225,-94.90775,180.0,bottom
C1104,127.03225,-96.89275,90.0,bottom
C1105,131.01225,-101.73775,270.0,bottom
C1106,124.59225,-100.82775,90.0,bottom
C1107,133.70225,-92.15775,90.0,bottom
C1108,131.90225,-91.33775,90.0,bottom
C1109,125.03225,-92.49775,0.0,bottom
C1110,131.05225,-95.30775,90.0,bottom
C1111,130.59225,-93.30775,0.0,bottom
C1112,130.56225,-90.02775,180.0,bottom
C1113,132.19225,-94.30775,270.0,bottom
C1114,129.79225,-98.90775,0.0,bottom
C1115,127.52225,-98.55775,270.0,bottom
C1118,130.56225,-98.08775,180.0,bottom
C1119,130.63725,-92.50775,0.0,bottom
C1120,124.59225,-99.32775,90.0,bottom
C1121,124.25725,-95.70775,0.0,bottom
C1122,128.70225,-99.27775,90.0,bottom
C1123,124.56225,-90.49775,270.0,bottom
C1124,131.09225,-99.28775,90.0,bottom
