# Pinout for LFE5U-25F,,,,
,,,,
# Revision 0.1,,,,
# Status Preliminary,,,,
# Revised 9-Jan-24,,,,
# First extraction,,,,
,,,,
,,,,
,,,,
PADN,FNC,PADX,PADY,CABGA256
1,PL2A,-1893.5,1837.8,B1
2,PL2B,-1893.5,1750.8,B2
3,VSSIO7,-1990.6,1663.8,GND
4,PL2C,-1806.7,1616.1,C3
5,VCCIO7,-1990.6,1576.8,VCCIO7
6,PL2D,-1806.7,1529.1,D3
7,PL5A,-1893.5,1492.5,C1
8,VCCAUX,-1990.6,1489.8,VCCAUX
9,PL5C,-1806.7,1442.1,E3
10,PL5B,-1893.5,1405.5,C2
11,VSS,-1990.6,1402.8,GND
12,PL5D,-1806.7,1355.1,F3
13,PL8A,-1893.5,1320.9,D1
14,VCC,-1990.6,1318.2,VCC
15,PL8C,-1806.7,1270.5,F4
16,PL8B,-1893.5,1233.9,E2
17,VSS,-1990.6,1231.2,GND
18,PL8D,-1806.7,1183.5,F5
19,PL11A,-1893.5,1146.9,G5
20,VSSIO7,-1990.6,1144.2,GND
21,PL11C,-1806.7,1096.5,F2
22,PL11B,-1893.5,1059.9,G4
23,VCCIO7,-1990.6,1057.2,VCCIO7
24,PL11D,-1806.7,1009.5,E1
25,PL14A,-1893.5,953.5,F1
26,VSSIO7,-1990.6,950.8,GND
27,PL14C,-1806.7,903.1,G3
28,PL14B,-1893.5,866.5,G2
29,VCCIO7,-1990.6,863.8,VCCIO7
30,PL14D,-1806.7,816.1,H3
31,PL17A,-1893.5,779.5,H5
32,VCCAUX,-1990.6,776.8,VCCAUX
33,PL17C,-1806.7,729.1,J4
34,PL17B,-1893.5,692.6,H4
35,VSS,-1990.6,689.8,GND
36,PL17D,-1806.7,642.1,J5
37,PL20A,-1893.5,607.9,G1
38,VCC,-1990.6,605.2,VCC
39,PL20C,-1806.7,557.5,J3
40,PL20B,-1893.5,520.9,H2
41,VSS,-1990.6,518.2,GND
42,PL20D,-1806.7,470.5,K3
43,PL23A,-1893.5,433.9,J1
44,VSSIO7,-1990.6,431.2,GND
45,PL23C,-1806.7,383.5,K1
46,PL23B,-1893.5,347,J2
47,VCCIO7,-1990.6,344.2,VCCIO7
48,PL23D,-1806.7,296.5,K2
49,PL26A,-1893.5,124.7,L1
50,VSSIO6,-1990.6,122,GND
51,PL26C,-1806.7,74.3,M1
52,PL26B,-1893.5,37.7,L2
53,VCCIO6,-1990.6,35,VCCIO6
54,PL26D,-1806.7,-12.7,M2
55,PL29A,-1893.5,-49.3,K4
56,VCCAUX,-1990.6,-52,VCCAUX
57,PL29C,-1806.7,-99.7,L4
58,PL29B,-1893.5,-136.3,K5
59,VSS,-1990.6,-139,GND
60,PL29D,-1806.7,-186.7,L5
61,PL32A,-1893.5,-220.9,N1
62,VCC,-1990.6,-223.6,VCC
63,PL32C,-1806.7,-271.3,L3
64,PL32B,-1893.5,-307.9,P2
65,VSS,-1990.6,-310.6,GND
66,PL32D,-1806.7,-358.3,M3
67,PL35A,-1893.5,-394.9,P1
68,VSSIO6,-1990.6,-397.6,GND
69,PL35C,-1806.7,-445.3,M4
70,PL35B,-1893.5,-481.9,R1
71,VCCIO6,-1990.6,-484.6,VCCIO6
72,PL35D,-1806.7,-532.3,N3
73,PL38A,-1893.5,-643.4,N4
74,VSSIO6,-1990.6,-646.1,GND
75,PL38C,-1806.7,-693.8,R2
76,PL38B,-1893.5,-730.4,P3
77,VCCIO6,-1990.6,-733.1,VCCIO6
78,PL38D,-1806.7,-780.8,T2
79,PL41A,-1893.5,-817.4,P4
80,VCCAUX,-1990.6,-820.1,VCCAUX
81,PL41C,-1806.7,-867.8,R4
82,PL41B,-1893.5,-904.4,R3
83,VSS,-1990.6,-907.1,GND
84,PL41D,-1806.7,-954.8,T3
85,PL44A,-1893.5,-989,R5
86,VCC,-1990.6,-991.7,VCC
87,PL44C,-1806.7,-1039.4,M5
88,PL44B,-1893.5,-1076,T4
89,VSS,-1990.6,-1078.7,GND
90,PL44D,-1806.7,-1126.4,N5
91,PL47A,-1893.5,-1163,M6
92,VSSIO6,-1990.6,-1165.7,GND
93,PL47B,-1893.5,-1250,N6
94,VCCIO6,-1990.6,-1252.7,VCCIO6
95,PL47C,-1990.6,-1415.1,P6
96,PL47D,-1990.6,-1502.1,P5
97,NC_VCCM,-1990.6,-1589.1,Unused
98,NC_POR,-1990.6,-1701.6,Unused
99,VSSPLL0_LLC,-1777.7,-1971.2,GND
100,VCCPLL0_LLC,-1690.7,-1971.2,VCC
101,VCC,-1603.7,-1971.2,VCC
102,VSS,-1516.7,-1971.2,GND
103,PB4A,-1430.5,-1874.1,T6
104,PB6A,-1390.2,-1787.3,R7
105,VCC,-1390.2,-1971.2,VCC
106,PB4B,-1343.5,-1874.1,R6
107,PB6B,-1303.2,-1787.3,P7
108,VSS,-1303.2,-1971.2,GND
109,PB9A,-1256.5,-1874.1,N7
110,PB11A,-1216.2,-1787.3,T7
111,VSSIO8,-1216.2,-1971.2,GND
112,PB9B,-1169.5,-1874.1,M7
113,PB11B,-1129.3,-1787.3,T8
114,VCCIO8,-1129.3,-1971.2,VCCIO8
115,PB13A,-1032.7,-1874.1,R8
116,PB15A,-992.4,-1787.3,N8
117,VSSIO8,-992.4,-1971.2,GND
118,PB13B,-945.7,-1874.1,P8
119,PB15B,-905.4,-1787.3,M8
120,VCCIO8,-905.4,-1971.2,VCCIO8
121,PB18A,-858.7,-1874.1,M9
122,INITN,-818.4,-1787.3,T9
123,VCCAUX,-818.4,-1971.2,VCCAUX
124,CCLK,-771.7,-1874.1,N9
125,PROGRAMN,-731.5,-1787.3,R9
126,VSS,-731.5,-1971.2,GND
127,DONE,-684.7,-1874.1,P9
128,CFG_1,-644.5,-1787.3,P10
129,VCC,-644.5,-1971.2,VCC
130,CFG_2,-597.7,-1874.1,R10
131,CFG_0,-557.5,-1787.3,N10
132,VSS,-557.5,-1971.2,GND
133,TDO,-510.7,-1874.1,M10
134,TCK,-470.5,-1787.3,T10
135,VSSIO8,-470.5,-1971.2,GND
136,TDI,-423.7,-1874.1,R11
137,TMS,-383.5,-1787.3,T11
138,VCCIO8,-383.5,-1971.2,VCCIO8
139,VCC,-336.7,-1874.1,VCC
140,VCC,-293.1,-1971.2,VCC
141,VSS,-207.1,-1874.1,GND
142,VSS,-163.5,-1971.2,GND
143,VCC,-77.5,-1874.1,VCC
144,VCC,-33.9,-1971.2,VCC
145,VSSA0_D0CH0,81.3,-1890.3,GND
146,VCCATX0_D0CH0,112.8,-1970.4,GND
147,HDTXP0_D0CH0,144.3,-1890.3,Unused
148,VCCHTX0_D0CH0,175.8,-1970.4,GND
149,HDTXN0_D0CH0,207.3,-1890.3,Unused
150,VSSA0_D0CH0,270.3,-1890.3,GND
151,VCCARX0_D0CH0,301.8,-1970.4,GND
152,HDRXP0_D0CH0,333.3,-1890.3,GND
153,VCCARX0_D0CH0,364.8,-1810.2,GND
154,VCCHRX0_D0CH0,364.8,-1970.4,GND
155,HDRXN0_D0CH0,396.3,-1890.3,GND
156,VSSA0_D0CH0,459.3,-1890.3,GND
157,VSSA1_D0CH1,522.3,-1890.3,GND
158,HDRXP0_D0CH1,585.3,-1890.3,GND
159,VCCARX1_D0CH1,616.8,-1810.2,GND
160,VCCHRX1_D0CH1,616.8,-1970.4,GND
161,HDRXN0_D0CH1,648.3,-1890.3,GND
162,VCCARX1_D0CH1,679.8,-1970.4,GND
163,VSSA1_D0CH1,711.3,-1890.3,GND
164,HDTXP0_D0CH1,774.3,-1890.3,Unused
165,VCCHTX1_D0CH1,805.8,-1970.4,GND
166,HDTXN0_D0CH1,837.3,-1890.3,Unused
167,VCCATX1_D0CH1,868.8,-1970.4,GND
168,VSSA1_D0CH1,900.3,-1890.3,GND
169,ATSTP_D0,937.9,-1810.2,Unused
170,VCCA_D0,956.5,-1970.4,GND
171,ATSTN_D0,1009.9,-1810.2,Unused
172,VSSA_D0,1028.5,-1970.4,GND
173,VSSA_D0,1100.5,-1970.4,GND
174,REFCLKP_D0,1119.2,-1810.2,GND
175,VCCA25_D0,1172.5,-1970.4,GND
176,REFCLKN_D0,1191.2,-1810.2,GND
177,VCC,1477.6,-1969.9,VCC
178,VSS,1564.6,-1969.9,GND
179,VCCPLL0_LRC,1651.6,-1969.9,VCC
180,VSSPLL0_LRC,1738.6,-1969.9,GND
181,NC17,1990.6,-1701.6,Unused
182,NC18,1990.6,-1589.1,Unused
183,PR47D,1990.6,-1502.1,P12
184,PR47C,1990.6,-1415.1,P11
185,VCCIO3,1990.6,-1252.7,VCCIO3
186,PR47B,1893.5,-1250,N11
187,VSSIO3,1990.6,-1165.7,GND
188,PR47A,1893.5,-1163,M11
189,PR44D,1806.7,-1126.4,N12
190,VSS,1990.6,-1078.7,GND
191,PR44B,1893.5,-1076,T13
192,PR44C,1806.7,-1039.4,M12
193,VCC,1990.6,-991.7,VCC
194,PR44A,1893.5,-989,R12
195,PR41D,1806.7,-954.8,T14
196,VSS,1990.6,-907.1,GND
197,PR41B,1893.5,-904.4,R14
198,PR41C,1806.7,-867.8,R13
199,VCCAUX,1990.6,-820.1,VCCAUX
200,PR41A,1893.5,-817.4,P13
201,PR38D,1806.7,-780.8,T15
202,VCCIO3,1990.6,-733.1,VCCIO3
203,PR38B,1893.5,-730.4,P14
204,PR38C,1806.7,-693.8,R15
205,VSSIO3,1990.6,-646.1,GND
206,PR38A,1893.5,-643.4,N13
207,PR35D,1806.7,-532.3,N14
208,VCCIO3,1990.6,-484.6,VCCIO3
209,PR35B,1893.5,-481.9,R16
210,PR35C,1806.7,-445.3,M13
211,VSSIO3,1990.6,-397.6,GND
212,PR35A,1893.5,-394.9,P16
213,PR32D,1806.7,-358.3,M14
214,VSS,1990.6,-310.6,GND
215,PR32B,1893.5,-307.9,P15
216,PR32C,1806.7,-271.3,L14
217,VCC,1990.6,-223.6,VCC
218,PR32A,1893.5,-220.9,N16
219,PR29D,1806.7,-186.7,L12
220,VSS,1990.6,-139,GND
221,PR29B,1893.5,-136.3,K12
222,PR29C,1806.7,-99.7,L13
223,VCCAUX,1990.6,-52,VCCAUX
224,PR29A,1893.5,-49.3,K13
225,PR26D,1806.7,-12.7,M15
226,VCCIO3,1990.6,35,VCCIO3
227,PR26B,1893.5,37.7,L15
228,PR26C,1806.7,74.3,M16
229,VSSIO3,1990.6,122,GND
230,PR26A,1893.5,124.7,L16
231,PR23D,1806.7,296.5,K15
232,VCCIO2,1990.6,344.2,VCCIO2
233,PR23B,1893.5,347,J15
234,PR23C,1806.7,383.5,K16
